ilteration, x, error, enew/eold, enew/eold^2, enew/eold^3
0, 2.0, 0.2679491924311228, 0, 0, 0
1, 1.7692307692307692, 0.03717996166189197, 0.13875750594564376, 0.517850062120683, 1.9326427425370873
2, 1.7329238103969928, 0.0008730028281156432, 0.023480466065419255, 0.6315355104167799, 16.985910748371737
3, 1.7320513061089737, 4.985400965384912e-07, 0.0005710635526972789, 0.6541371165198934, 749.295529697004
4, 1.73205080756904, 1.6275869541004795e-13, 3.2647062200238034e-07, 0.6548532891720461, 1313541.8669809767
